state,city,city_pop,cvs_count,under,under_count
California,Menifee,94756,3,False,0.0
California,Tracy,94740,3,False,0.0
California,Mission Viejo,94381,7,False,-4.0
California,Chino,94371,3,False,0.0
California,South Gate,93444,3,False,0.0
California,Santa Maria,107263,5,False,-2.0
California,Compton,95605,3,False,0.0
California,Richmond,110567,2,True,1.0
California,Fairfield,117133,4,False,0.0
California,Visalia,134605,5,False,-1.0
California,Santa Clara,130365,4,False,0.0
California,Concord,129295,3,True,1.0
California,Thousand Oaks,126813,5,False,-1.0
California,Simi Valley,125613,6,False,-2.0
California,Victorville,122385,2,True,2.0
California,Vallejo,121692,2,True,2.0
California,Berkeley,121363,4,False,0.0
California,Murrieta,116223,6,False,-3.0
California,El Monte,115487,3,True,0.0
California,Carlsbad,115382,3,True,0.0
California,Temecula,114761,7,False,-4.0
California,Clovis,114584,7,False,-4.0
California,Costa Mesa,113003,5,False,-2.0
California,Antioch,111502,2,True,1.0
California,Downey,111126,3,True,0.0
Arkansas,Springdale,81125,1,True,1.0
Arkansas,North Little Rock,65903,1,True,1.0
Arkansas,Conway,67638,2,True,0.0
Arkansas,Rogers,68669,2,True,0.0
Arkansas,Jonesboro,78394,2,True,0.0
